CPI,CPIT,CPIXA,field_inflations_date
14.30,11.50,7.60,"Jul 2022"
12.70,10.30,6.60,"Jun 2022"
11.90,9.40,6.40,"May 2022"
9.60,8.10,5.90,"Apr 2022"
10.00,8.60,6.80,"Mar 2022"
10.60,8.80,6.80,"Feb 2022"
10.60,8.80,6.70,"Jan 2022"
8.70,8.00,7.10,"Dec 2021"
8.60,8.00,7.00,"Nov 2021"
8.80,8.20,7.20,"Oct 2021"
8.40,8.00,7.10,"Sep 2021"
8.80,8.30,6.80,"Aug 2021"
8.90,8.40,7.00,"Jul 2021"
8.20,7.90,6.80,"Jun 2021"
6.20,5.80,6.70,"May 2021"
5.60,5.40,6.10,"Apr 2021"
3.20,2.80,3.90,"Mar 2021"
2.40,2.20,3.60,"Feb 2021"
2.30,2.20,3.40,"Jan 2021"
2.20,2.10,3.30,"Dec 2020"
2.20,2.20,3.40,"Nov 2020"
2.20,2.20,3.40,"Oct 2020"
1.80,1.80,3.10,"Sep 2020"
1.00,1.00,2.90,"Aug 2020"
0.90,1.00,2.80,"Jul 2020"
0.90,1.00,2.80,"Jun 2020"
2.40,1.60,2.60,"May 2020"
2.50,1.80,2.60,"Apr 2020"
2.20,1.90,2.70,"Mar 2020"
2.20,1.90,2.70,"Feb 2020"
2.20,1.90,2.70,"Jan 2020"
2.20,1.80,2.50,"Dec 2019"
2.10,1.70,2.40,"Nov 2019"
2.40,2.10,2.30,"Oct 2019"
3.00,2.70,2.30,"Sep 2019"
2.90,2.70,2.20,"Aug 2019"
2.90,2.60,2.10,"Jul 2019"
2.80,2.50,2.00,"Jun 2019"
2.60,2.70,1.90,"May 2019"
2.50,2.60,1.70,"Apr 2019"
3.30,3.50,1.60,"Mar 2019"
3.30,3.50,1.60,"Feb 2019"
3.50,3.60,1.80,"Jan 2019"
3.80,3.80,1.70,"Nov 2018"
3.50,3.60,1.80,"Dec 2018"
3.00,3.00,1.60,"Aug 2018"
2.90,2.90,1.60,"Sep 2018"
3.60,3.70,1.60,"Oct 2018"
3.40,3.10,1.90,"Apr 2018"
3.30,3.00,1.80,"May 2018"
3.10,3.20,1.80,"Jun 2018"
3.10,3.10,1.70,"Jul 2018"
3.20,2.90,2.30,"Dec 2017"
3.10,2.80,2.20,"Jan 2018"
3.20,2.90,2.20,"Feb 2018"
2.80,2.60,2.00,"Mar 2018"
3.40,2.90,3.30,"Aug 2017"
3.20,2.70,3.00,"Sep 2017"
3.00,2.60,2.80,"Oct 2017"
2.90,2.50,2.40,"Nov 2017"
3.50,3.10,3.40,"May 2017"
3.50,2.90,3.30,"Jun 2017"
3.40,2.90,3.30,"Jul 2017"
3.10,2.70,3.90,"Jan 2017"
3.40,2.90,3.90,"Feb 2017"
3.50,3.10,3.90,"Mar 2017"
3.40,3.10,3.30,"Apr 2017"
2.80,2.60,3.60,"Sep 2016"
2.70,2.20,3.40,"Oct 2016"
2.90,2.50,3.70,"Nov 2016"
3.00,2.50,3.70,"Dec 2016"
2.80,2.30,3.80,"May 2016"
2.70,2.40,3.60,"Jun 2016"
2.70,2.50,3.60,"Jul 2016"
2.60,2.40,3.60,"Aug 2016"
2.70,2.80,4.00,"Jan 2016"
3.00,2.60,3.70,"Feb 2016"
3.00,2.50,3.70,"Mar 2016"
2.80,2.40,3.90,"Apr 2016"
2.90,3.40,4.80,"Sep 2015"
3.10,3.60,5.00,"Oct 2015"
2.90,3.30,4.70,"Nov 2015"
3.10,3.20,4.50,"Dec 2015"
3.00,3.50,4.70,"May 2015"
3.10,3.60,4.70,"Jun 2015"
3.10,3.60,4.70,"Jul 2015"
3.00,3.50,4.60,"Aug 2015"
3.60,3.60,4.80,"Jan 2015"
2.80,3.20,4.80,"Feb 2015"
2.80,3.30,4.80,"Mar 2015"
3.10,3.60,4.80,"Apr 2015"
4.50,4.10,5.20,"Sep 2014"
4.30,4.00,5.10,"Oct 2014"
4.30,3.90,5.00,"Nov 2014"
3.80,3.70,4.90,"Dec 2014"
4.50,4.10,5.20,"May 2014"
4.60,4.20,5.30,"Jun 2014"
4.50,4.20,5.30,"Jul 2014"
4.60,4.20,5.30,"Aug 2014"
4.40,4.10,5.20,"Jan 2014"
4.60,4.10,5.50,"Feb 2014"
4.40,4.00,5.20,"Mar 2014"
4.50,4.10,5.20,"Apr 2014"
4.80,4.70,4.90,"Oct 2013"
4.10,4.00,4.70,"Nov 2013"
4.10,4.00,4.70,"Dec 2013"
5.80,5.70,5.70,"Jun 2013"
5.70,5.50,5.50,"Jul 2013"
5.60,5.40,5.30,"Aug 2013"
5.00,4.70,5.20,"Sep 2013"
7.50,7.20,6.90,"Feb 2013"
7.60,7.30,7.00,"Mar 2013"
7.20,6.80,6.40,"Apr 2013"
6.10,6.00,6.10,"May 2013"
7.10,6.70,6.60,"Oct 2012"
7.40,7.10,6.90,"Nov 2012"
7.40,7.10,6.80,"Dec 2012"
7.50,7.20,6.90,"Jan 2013"
7.30,6.80,6.50,"Jul 2012"
6.60,6.30,6.60,"Aug 2012"
7.10,6.50,6.50,"Sep 2012"
7.50,7.30,6.60,"Apr 2012"
7.70,7.30,6.50,"May 2012"
7.30,6.80,6.40,"Jun 2012"
8.20,7.80,7.20,"Feb 2012"
8.00,7.60,7.00,"Mar 2012"
9.20,8.50,7.50,"Nov 2011"
9.20,8.50,7.50,"Dec 2011"
8.80,8.10,7.20,"Jan 2012"
8.70,8.40,7.40,"Aug 2011"
8.60,8.10,7.40,"Sep 2011"
8.80,8.30,7.60,"Oct 2011"
8.20,8.00,7.40,"Apr 2011"
8.30,8.20,7.30,"May 2011"
7.90,7.60,7.40,"Jun 2011"
7.80,7.40,7.30,"Jul 2011"
7.90,8.00,7.60,"Jan 2011"
8.50,8.60,7.70,"Feb 2011"
8.50,8.40,7.60,"Mar 2011"
7.00,7.40,6.50,"Sep 2010"
7.20,7.60,6.80,"Oct 2010"
7.20,7.60,6.70,"Nov 2010"
7.40,7.70,7.10,"Dec 2010"
7.80,8.30,7.20,"May 2010"
7.70,8.10,6.90,"Jun 2010"
7.00,7.60,6.10,"Jul 2010"
6.70,7.20,6.30,"Aug 2010"
6.10,6.70,5.90,"Jan 2010"
6.10,6.70,5.80,"Feb 2010"
6.00,6.50,5.60,"Mar 2010"
7.10,7.70,6.80,"Apr 2010"
7.00,6.80,12.60,"Sep 2009"
6.90,5.80,11.10,"Oct 2009"
5.00,5.30,7.70,"Nov 2009"
5.80,6.40,7.00,"Dec 2009"
8.40,8.70,14.50,"May 2009"
7.00,7.50,13.80,"Jun 2009"
6.00,7.40,14.20,"Jul 2009"
6.10,6.90,13.40,"Aug 2009"
12.80,11.50,16.40,"Jan 2009"
11.70,10.20,15.80,"Feb 2009"
11.70,10.60,15.80,"Mar 2009"
10.20,9.90,15.50,"Apr 2009"
13.10,11.30,12.00,"Oct 2008"
15.00,13.60,15.50,"Nov 2008"
13.70,12.10,16.10,"Dec 2008"
15.10,13.00,10.40,"Aug 2008"
14.00,12.90,11.40,"Sep 2008"
12.10,11.00,9.10,"May 2008"
14.50,12.50,9.80,"Jun 2008"
15.00,12.70,11.10,"Jul 2008"
9.00,8.70,8.60,"Feb 2008"
9.80,9.70,8.90,"Mar 2008"
11.10,10.50,8.80,"Apr 2008"
7.70,7.70,7.10,"Nov 2007"
8.10,7.80,7.10,"Dec 2007"
8.40,7.90,7.20,"Jan 2008"
7.20,6.80,7.20,"Aug 2007"
6.80,6.60,6.80,"Sep 2007"
7.30,7.30,7.00,"Oct 2007"
6.40,5.90,6.50,"May 2007"
6.40,6.10,6.80,"Jun 2007"
7.50,6.80,6.00,"Jul 2007"
6.30,5.50,6.10,"Apr 2007"
7.40,6.40,7.90,"Jan 2007"
7.30,6.00,6.50,"Feb 2007"
6.50,5.50,6.30,"Mar 2007"
8.80,7.70,10.60,"Nov 2006"
8.50,7.60,8.90,"Dec 2006"
10.50,10.00,12.00,"Sep 2006"
9.20,8.30,10.50,"Oct 2006"
11.90,0.00,0.00,"Jul 2006"
10.70,0.00,0.00,"Aug 2006"
13.50,0.00,0.00,"May 2006"
12.50,0.00,0.00,"Jun 2006"
13.80,0.00,0.00,"Mar 2006"
14.20,0.00,0.00,"Apr 2006"
12.70,0.00,0.00,"Jan 2006"
13.10,0.00,0.00,"Feb 2006"
11.30,0.00,0.00,"Nov 2005"
11.40,0.00,0.00,"Dec 2005"
9.60,0.00,0.00,"Aug 2005"
10.00,0.00,0.00,"Sep 2005"
11.20,0.00,0.00,"Oct 2005"
7.10,0.00,0.00,"Jun 2005"
8.20,0.00,0.00,"Jul 2005"
6.20,0.00,0.00,"Apr 2005"
6.30,0.00,0.00,"May 2005"
7.30,0.00,0.00,"Feb 2005"
6.50,0.00,0.00,"Mar 2005"
7.80,0.00,0.00,"Dec 2004"
8.00,0.00,0.00,"Jan 2005"
7.70,0.00,0.00,"Oct 2004"
7.60,0.00,0.00,"Nov 2004"
6.70,0.00,0.00,"Aug 2004"
7.00,0.00,0.00,"Sep 2004"
6.70,0.00,0.00,"Jun 2004"
6.80,0.00,0.00,"Jul 2004"
6.30,0.00,0.00,"Feb 2004"
6.90,0.00,0.00,"Mar 2004"
6.60,0.00,0.00,"Apr 2004"
7.40,0.00,0.00,"May 2004"
7.00,0.00,0.00,"Oct 2003"
6.60,0.00,0.00,"Nov 2003"
6.40,0.00,0.00,"Dec 2003"
6.20,0.00,0.00,"Jan 2004"
12.20,0.00,0.00,"Jun 2003"
8.60,0.00,0.00,"Jul 2003"
7.80,0.00,0.00,"Aug 2003"
7.30,0.00,0.00,"Sep 2003"
10.60,0.00,0.00,"Mar 2003"
10.80,0.00,0.00,"Apr 2003"
11.20,0.00,0.00,"May 2003"
10.60,0.00,0.00,"Dec 2002"
10.80,0.00,0.00,"Jan 2003"
11.60,0.00,0.00,"Feb 2003"
9.90,0.00,0.00,"Aug 2002"
10.10,0.00,0.00,"Sep 2002"
10.00,0.00,0.00,"Oct 2002"
10.40,0.00,0.00,"Nov 2002"
6.90,0.00,0.00,"Apr 2002"
5.80,0.00,0.00,"May 2002"
5.90,0.00,0.00,"Jun 2002"
8.80,0.00,0.00,"Jul 2002"
5.80,0.00,0.00,"Dec 2001"
5.70,0.00,0.00,"Jan 2002"
5.70,0.00,0.00,"Feb 2002"
6.10,0.00,0.00,"Mar 2002"
5.80,0.00,0.00,"Oct 2001"
5.80,0.00,0.00,"Nov 2001"
7.10,0.00,0.00,"Jun 2001"
5.90,0.00,0.00,"Jul 2001"
6.00,0.00,0.00,"Aug 2001"
6.10,0.00,0.00,"Sep 2001"
7.30,0.00,0.00,"Mar 2001"
6.50,0.00,0.00,"Apr 2001"
7.30,0.00,0.00,"May 2001"
8.50,0.00,0.00,"Nov 2000"
8.50,0.00,0.00,"Dec 2000"
8.00,0.00,0.00,"Jan 2001"
7.40,0.00,0.00,"Feb 2001"
10.40,0.00,0.00,"Jul 2000"
8.40,0.00,0.00,"Aug 2000"
8.00,0.00,0.00,"Sep 2000"
8.40,0.00,0.00,"Oct 2000"
7.80,0.00,0.00,"Mar 2000"
8.40,0.00,0.00,"Apr 2000"
8.70,0.00,0.00,"May 2000"
8.90,0.00,0.00,"Jun 2000"
8.40,0.00,0.00,"Dec 1999"
8.30,0.00,0.00,"Jan 2000"
8.10,0.00,0.00,"Feb 2000"
8.50,0.00,0.00,"Aug 1999"
9.10,0.00,0.00,"Sep 1999"
9.00,0.00,0.00,"Oct 1999"
8.50,0.00,0.00,"Nov 1999"
7.20,0.00,0.00,"Apr 1999"
7.00,0.00,0.00,"May 1999"
7.20,0.00,0.00,"Jun 1999"
6.90,0.00,0.00,"Jul 1999"
6.70,0.00,0.00,"Jan 1999"
7.40,0.00,0.00,"Feb 1999"
7.80,0.00,0.00,"Mar 1999"